jp,cn,context
抱えて,抱起,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:143。仅作语境审校参考，不自动替换。
担当官,负责军官,憧憬／再诞；译为中文自然且能体现军职身份的“负责军官”，不用日式残留“担当官/负责官”。；来源 pm-ar-table:116。仅作语境审校参考，不自动替换。
拠点,据点,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:151。仅作语境审校参考，不自动替换。
指向性蛋白,定向蛋白,憧憬／再诞；按功能译为定向蛋白，避免生硬直译。；来源 pm-ar-table:198。仅作语境审校参考，不自动替换。
操縦桿,操纵杆,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:270。仅作语境审校参考，不自动替换。
擬似生体技術,拟生体技术,憧憬／再诞；去除日式“拟似”句壳，固定为自然中文技术名。；来源 pm-ar-table:199。仅作语境审校参考，不自动替换。
放射された,放射出来,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:376。仅作语境审校参考，不自动替换。
整備兵,整备兵,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:77。仅作语境审校参考，不自动替换。
既成事実,既成事实,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:159。仅作语境审校参考，不自动替换。
日本帝国本土防衛陸軍・生物化学研究部,日本帝国本土防卫陆军生物化学研究部,憧憬／再诞；保留组织全称及层级。；来源 pm-ar-table:219。仅作语境审校参考，不自动替换。
明鏡止水,明镜止水,憧憬／再诞；中文已有对应成语与武侠修辞感，保留清十郎中二而郑重的自我鼓舞。；来源 pm-ar-table:138。仅作语境审校参考，不自动替换。
書道 / 茶道 / 茶室,书法 / 茶道 / 茶室,憧憬／再诞；書道采用中文通行称呼“书法”；茶道、茶室已有稳定中文词，保留其专门含义。；来源 pm-ar-table:177。仅作语境审校参考，不自动替换。
最低３ミリ幅でクロスに細かくカット,至少纵横交错地剪成约三毫米宽的碎片,憧憬／再诞；规格语义存在歧义，保留问题项供母语复核。；来源 pm-ar-table:333。仅作语境审校参考，不自动替换。
最大傾斜,最大坡度,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:228。仅作语境审校参考，不自动替换。
最強の迷彩・段ボール箱,最强迷彩·纸箱,憧憬／再诞；保留“纸箱是最强迷彩”的潜行游戏典故与命名感，使用中点形成固定称号。；来源 pm-ar-table:128。仅作语境审校参考，不自动替换。
月詠,月咏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：705/705；来源 pm-shard-table:10。仅作语境审校参考，不自动替换。
月詠さん,月咏小姐,时空的欠片；语境型；本篇权威称谓证据；复数或姓氏确认语境按功能处理；来源 pm-shard-table:38。仅作语境审校参考，不自动替换。
月詠・真耶,月咏、真耶,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；来源 pm-shard-table:202。仅作语境审校参考，不自动替换。
未臨界実験,次临界试验,时空的欠片；本篇审定；来源 pm-shard-table:271。仅作语境审校参考，不自动替换。
本国,本国,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:203。仅作语境审校参考，不自动替换。
本家,本家,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:87。仅作语境审校参考，不自动替换。
林間コース,林间雪道,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:204。仅作语境审校参考，不自动替换。
柊町,柊町,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:377。仅作语境审校参考，不自动替换。
柏木,柏木,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：733/733；来源 pm-shard-table:11。仅作语境审校参考，不自动替换。
柏木・壬姫,柏木、壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:205。仅作语境审校参考，不自动替换。
柏木晴子,柏木晴子,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:378。仅作语境审校参考，不自动替换。
核爆発,核爆炸,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:379。仅作语境审校参考，不自动替换。
榊さん,榊同学,时空的欠片；本篇权威称谓证据；来源 pm-shard-table:101。仅作语境审校参考，不自动替换。
榊千鶴,榊千鹤,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:380。仅作语境审校参考，不自动替换。
榊原,榊原,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:177。仅作语境审校参考，不自动替换。
横浜ハイヴ,横滨巢穴,憧憬／再诞；Existing Muv-Luv setting term.；来源 pm-ar-table:290。仅作语境审校参考，不自动替换。
横浜基地,横滨基地,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:272。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:240。仅作语境审校参考，不自动替换。
機械化歩兵,机械化步兵,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:78。仅作语境审校参考，不自动替换。
機械化装甲歩兵,机械化装甲步兵,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:79。仅作语境审校参考，不自动替换。
次郎,零次郎,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:381。仅作语境审校参考，不自动替换。
欧州エスタブリッシュメント / ショートケーキ,欧洲权贵阶层 / 奶油蛋糕,憧憬／再诞；establishment按政治社会语境译“权贵阶层”；日式ショートケーキ在未明确水果时译成玩家易懂的“奶油蛋糕”，不擅自添加草莓。；来源 pm-ar-table:201。仅作语境审校参考，不自动替换。
欧州統合火力演習,欧洲联合火力演习,憧憬／再诞；保留既有固定译名；統合在联合演习语境中译为“联合”，避免生硬的“统合”。；来源 pm-ar-table:196。仅作语境审校参考，不自动替换。
欧州連合,欧盟,憧憬／再诞；采用自然且通行的中文简称，已反查全部命中。；来源 pm-ar-table:217。仅作语境审校参考，不自动替换。
欧州連合情報軍,欧盟情报军,憧憬／再诞；由欧盟固定译名派生，保持组织层级。；来源 pm-ar-table:220。仅作语境审校参考，不自动替换。
正座,跪坐,憧憬／再诞；面向中文玩家采用一眼可懂的“跪坐”，避免把日文词形“正座”直接残留在普通对白。；来源 pm-ar-table:180。仅作语境审校参考，不自动替换。
正拳,正拳,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:229。仅作语境审校参考，不自动替换。
正調・真壁式按摩術,正宗真壁式按摩术,憧憬／再诞；保留清十郎为普通按摩冠以流派名称的郑重笑点；正調在此译为自然的“正宗”。；来源 pm-ar-table:229。仅作语境审校参考，不自动替换。
正調・真壁式泳法,正宗真壁式泳法,憧憬／再诞；与正調・真壁式按摩術的“正宗真壁式按摩术”保持构词一致，保留清十郎给普通技能冠以家传流派名的笑点。；来源 pm-ar-table:230。仅作语境审校参考，不自动替换。
武,武,仅限完整【说话人】字段；一处日英槽位不对应已另记，不能据此把武通用映射为霞 | 时空的欠片；白银武通称，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：10797/10798；来源 pm-shard-table:2。仅作语境审校参考，不自动替换。 | 憧憬／再诞；白银武通称，汉字保留。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:13。仅作语境审校参考，不自动替换。
武・ピアティフ,武、皮亚蒂芙,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:382。仅作语境审校参考，不自动替换。
武・冥夜,武、冥夜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:383。仅作语境审校参考，不自动替换。
武・千鶴,武、千鹤,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:384。仅作语境审校参考，不自动替换。
武・壬姫,武、壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；来源 pm-shard-table:152。仅作语境审校参考，不自动替换。
武・月詠,武、月咏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:385。仅作语境审校参考，不自动替换。
武・水月,武、水月,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：6/6；来源 pm-shard-table:153。仅作语境审校参考，不自动替换。
武・水月・宗像・風間,武、水月、宗像、风间,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:386。仅作语境审校参考，不自动替换。
武・純夏,武、纯夏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：15/15；来源 pm-shard-table:93。仅作语境审校参考，不自动替换。
武・純夏・悠陽・霞,武、纯夏、悠阳、霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:273。仅作语境审校参考，不自动替换。
武・美琴・慧,武、美琴、慧,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:387。仅作语境审校参考，不自动替换。
武・霞,武、霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：10/10；来源 pm-shard-table:128。仅作语境审校参考，不自动替换。
武君人形,小武人偶,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；来源 pm-shard-table:160。仅作语境审校参考，不自动替换。
武士に二言はない,武士绝不食言,憧憬／再诞；清十郎与伊尔芙莉德约定的重要回声，使用简洁可识别的中文固定译法。；来源 pm-ar-table:142。仅作语境审校参考，不自动替换。
武士は食わねど高楊枝,"武士哪怕饿着肚子,也要叼着牙签装作吃饱",憧憬／再诞；译出谚语“贫困也要维持体面”的实际含义；只译“没饭吃也叼牙签”会令中文玩家不明所以。；来源 pm-ar-table:252。仅作语境审校参考，不自动替换。
武様,武先生,时空的欠片；用户审定（人物称谓）；来源 pm-shard-table:17。仅作语境审校参考，不自动替换。
武運長久,武运昌隆,憧憬／再诞；军人之间祝愿战场平安与武运的正式告别语，使用中文固定表达。；来源 pm-ar-table:135。仅作语境审校参考，不自动替换。
死の8分,死亡8分钟,憧憬／再诞；与全角数字写法属同一设定术语，统一译名。；来源 pm-ar-table:245。仅作语境审校参考，不自动替换。
死の８分,死亡8分钟,憧憬／再诞；指BETA大战中新任卫士首次实战时的平均存活时间，使用简洁固定译名。；来源 pm-ar-table:246。仅作语境审校参考，不自动替换。
母上,母亲,憧憬／再诞；保留梦境中的古雅敬爱语气，但不直接残留日式亲属称谓；清十郎的自称另用“孩儿”体现旧式家风。；来源 pm-ar-table:209。仅作语境审校参考，不自动替换。
毛布,毛毯,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:117。仅作语境审校参考，不自动替换。
水上バイク,水上摩托艇,时空的欠片；本篇审定 | 第二遍行级证据（5条）；来源 pm-shard-table:111。仅作语境审校参考，不自动替换。
水月,水月,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：618/618；来源 pm-shard-table:15。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:80。仅作语境审校参考，不自动替换。
水月・慧,水月、慧,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:388。仅作语境审校参考，不自动替换。
水月・武,水月、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；来源 pm-shard-table:206。仅作语境审校参考，不自动替换。
水着専門店,泳装专卖店,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:230。仅作语境审校参考，不自动替换。
水着撮影会,泳装摄影会,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:129。仅作语境审校参考，不自动替换。
決勝トーナメント,决赛淘汰赛,时空的欠片；决赛淘汰赛.; Tournament stage term.；来源 pm-shard-table:274。仅作语境审校参考，不自动替换。
涼宮,凉宫,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:34。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:81。仅作语境审校参考，不自动替换。
涼宮中尉,凉宫中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:82。仅作语境审校参考，不自动替换。
涼宮少尉,凉宫少尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:83。仅作语境审校参考，不自动替换。
涼宮少尉・涼宮中尉,凉宫少尉、凉宫中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:84。仅作语境审校参考，不自动替换。
涼宮茜,凉宫茜,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:130。仅作语境审校参考，不自动替换。
涼宮遙,凉宫遥,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:178。仅作语境审校参考，不自动替换。
清十郎,清十郎,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；日式人名，汉字可直接保留。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:314。仅作语境审校参考，不自动替换。
清十郎君,清十郎,憧憬／再诞；君在当前同辈亲近关系中不机械落字，中文直接称“清十郎”更自然；敬意和亲密由语气体现。；来源 pm-ar-table:41。仅作语境审校参考，不自动替换。
清十郎様,清十郎大人,憧憬／再诞；此处様的夸张敬爱功能就是笑点，保留为“大人”；不作为现实场景中様的一般规则。；来源 pm-ar-table:213。仅作语境审校参考，不自动替换。
濃縮還元合成バナナ味,浓缩还原合成香蕉味,憧憬／再诞；原文故意堆叠加工食品术语制造荒诞感，直译能够保留笑点和重复识别度。；来源 pm-ar-table:278。仅作语境审校参考，不自动替换。
火力演習 / 欧州連合,火力演习 / 欧盟,憧憬／再诞；采用现代中文通行军事与组织称呼；欧州連合固定简称“欧盟”，不机械译作“欧洲联盟”。；来源 pm-ar-table:112。仅作语境审校参考，不自动替换。
火星,火星,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:275。仅作语境审校参考，不自动替换。
焔狼大隊全員,焰狼大队全员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；焔狼统一为焰狼。；来源 pm-ar-table:265。仅作语境审校参考，不自动替换。
無現鬼道流,无现鬼道流,时空的欠片；本篇审定；来源 pm-shard-table:231。仅作语境审校参考，不自动替换。
無重力双丘,无重力双峰,憧憬／再诞；保留原文自造词的夸张命名感，以中文可理解的“双峰”替代生硬“双丘”。；来源 pm-ar-table:125。仅作语境审校参考，不自动替换。
焰狼大隊,焰狼大队,憧憬／再诞；保留焰狼意象并按军事层级译为大队。；来源 pm-ar-table:270。仅作语境审校参考，不自动替换。
煌奉如月,煌奉如月,时空的欠片；本篇审定（命名保留）；来源 pm-shard-table:276。仅作语境审校参考，不自动替换。
熊,熊,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：11/11；来源 pm-shard-table:88。仅作语境审校参考，不自动替换。
熱中症,中暑,时空的欠片；本篇审定 | 第二遍行级证据（3条）；来源 pm-shard-table:207。仅作语境审校参考，不自动替换。
猛吹雪,暴风雪,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:232。仅作语境审校参考，不自动替换。
珠瀬壬姫,珠濑壬姬,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:389。仅作语境审校参考，不自动替换。
現地工作員,驻地特工,憧憬／再诞；与一般外勤特工区分，强调长期驻地身份。；来源 pm-ar-table:165。仅作语境审校参考，不自动替换。
球技大会,球类大赛,时空的欠片；本篇审定 | 第二遍行级证据（44条）；来源 pm-shard-table:47。仅作语境审校参考，不自动替换。
生体遠隔認識能力,生物远程感知能力,憧憬／再诞；按能力性质固定为“生物远程感知能力”。；来源 pm-ar-table:339。仅作语境审校参考，不自动替换。
甲21号目標,甲21号目标,憧憬／再诞；Sado Island Hive target designation.；来源 pm-ar-table:291。仅作语境审校参考，不自动替换。
甲21号目標 / 佐渡島ハイヴ / 横浜ハイヴ,甲21号目标 / 佐渡岛巢穴 / 横滨巢穴,憧憬／再诞；保留系列目标编号与地名；ハイヴ按篇内固定译法统一为“巢穴”。；来源 pm-ar-table:106。仅作语境审校参考，不自动替换。
男,男人,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：24/25；其他标签：男性(1)；来源 pm-shard-table:28。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:14。仅作语境审校参考，不自动替换。
男の声,男声,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:315。仅作语境审校参考，不自动替换。
男の子,男孩,时空的欠片；说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：6/6；来源 pm-shard-table:102。仅作语境审校参考，不自动替换。
男性士官の声,男军官的声音,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:316。仅作语境审校参考，不自动替换。
男１,男人1,时空的欠片；语境型；说话人名/称谓，需要固定。 | 最终全文说话人标签：19/33；其他标签：男1(14)；来源 pm-shard-table:65。仅作语境审校参考，不自动替换。
男２,男人2,时空的欠片；语境型；说话人名/称谓，需要固定。 | 最终全文说话人标签：19/28；其他标签：男2(9)；来源 pm-shard-table:68。仅作语境审校参考，不自动替换。
異端審問,异端审判,憧憬／再诞；采用中文通行历史术语“异端审判”，避免日式汉字直搬“异端审问”。；来源 pm-ar-table:120。仅作语境审校参考，不自动替换。
疑似生体,拟生体；眼部语境译“仿生眼”,憧憬／再诞；本篇语境明确指独眼卫士等待移植的眼部替代物，故正文按功能译为仿生眼。 | 指为脑髓准备的仿生身体，固定为拟生体。 | Resurrection 指完整拟生身体，Adoration 结合失去单眼的明确语境具体译为仿生眼；属于语境化拆分而非术语冲突。；来源 pm-ar-table:119。仅作语境审校参考，不自动替换。
白き后狼,白狼后,憧憬／再诞；称号具有《英雄传》固定命名感；使用“白狼后”保留白、狼与女性领袖的识别度。；来源 pm-ar-table:232。仅作语境审校参考，不自动替换。
白のワンピース,白色连体泳装,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:277。仅作语境审校参考，不自动替换。
白銀君,白银同学,时空的欠片；语境型；本篇权威称谓证据；中文依语境可省略“同学”；来源 pm-shard-table:22。仅作语境审校参考，不自动替换。
白銀武,白银武,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:107。仅作语境审校参考，不自动替换。
白陵,白陵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（1条）；来源 pm-shard-table:72。仅作语境审校参考，不自动替换。
白陵の制服,白陵制服,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:233。仅作语境审校参考，不自动替换。
百億の昼は貞淑／千億の夜は娼婦,百亿个白昼里贞淑／千亿个黑夜里放荡,憧憬／再诞；用户审定：保留对白昼与黑夜的改写笑点，固定为“百亿个白昼里贞淑／千亿个黑夜里放荡”。；来源 pm-ar-table:327。仅作语境审校参考，不自动替换。
皆琉神威,皆琉神威,时空的欠片；本篇审定（命名保留）；来源 pm-shard-table:234。仅作语境审校参考，不自动替换。
益荒男,勇士,憧憬／再诞；后文明确指西尔维奥，固定为勇士。；来源 pm-ar-table:254。仅作语境审校参考，不自动替换。
目印,标记,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:161。仅作语境审校参考，不自动替换。
目玉商品,主打商品,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:390。仅作语境审校参考，不自动替换。
目的地,目的地,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:235。仅作语境审校参考，不自动替换。
真壁家,真壁家,憧憬／再诞；家名保留。；来源 pm-ar-table:299。仅作语境审校参考，不自动替换。
真壁式書類作成術,真壁式文书撰写术,憧憬／再诞；保留家传绝技般的命名感，以“文书撰写”自然表达書類作成。；来源 pm-ar-table:126。仅作语境审校参考，不自动替换。
真壁清十郎,真壁清十郎,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
真壁獅子心王,真壁狮心王,憧憬／再诞；保留历史称号“狮心王”的识别度与清十郎自我吹嘘的命名笑点。；来源 pm-ar-table:134。仅作语境审校参考，不自动替换。
真耶,真耶,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：241/241；来源 pm-shard-table:27。仅作语境审校参考，不自动替换。
真耶・月詠,真耶、月咏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:236。仅作语境审校参考，不自动替换。
石鹸,香皂,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:391。仅作语境审校参考，不自动替换。
砲撃支援,炮击支援,憧憬／再诞；TSF tactical role.；来源 pm-ar-table:292。仅作语境审校参考，不自动替换。
破廉恥,有伤风化,憧憬／再诞；按清十郎夸张的武家道德语气译为“有伤风化”，比机械“破廉耻”自然。；来源 pm-ar-table:277。仅作语境审校参考，不自动替换。
社霞,社霞,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:278。仅作语境审校参考，不自动替换。
祓正無道,祓正无道,时空的欠片；本篇审定；来源 pm-shard-table:392。仅作语境审校参考，不自动替换。
神代,神代,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：48/48；来源 pm-shard-table:41。仅作语境审校参考，不自动替换。
神代・巴,神代、巴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：3/3；来源 pm-shard-table:56。仅作语境审校参考，不自动替换。
神代・巴・戎,神代、巴、戎,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：48/48；来源 pm-shard-table:59。仅作语境审校参考，不自动替换。
神宮司,神宫司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:75。仅作语境审校参考，不自动替换。
神宮司まりも,神宫司麻理茉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:393。仅作语境审校参考，不自动替换。
禅,禅,憧憬／再诞；中文已有稳定概念“禅”，无需扩写为生硬的“名为禅的教诲”；具体含义由后续对白说明。；来源 pm-ar-table:181。仅作语境审校参考，不自动替换。
福袋,福袋,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:118。仅作语境审校参考，不自动替换。
福袋勝負,福袋对决,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:394。仅作语境审校参考，不自动替换。
突入部隊隊長,突入部队队长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:85。仅作语境审校参考，不自动替换。
突撃前衛,突击前卫,憧憬／再诞；保留系列既有岗位译名，并通过上下文解释其职责，不改成泛称“先锋”。；来源 pm-ar-table:168。仅作语境审校参考，不自动替换。
第六世代３００番,第六世代300号,憧憬／再诞；保留世代与编号信息。；来源 pm-ar-table:249。仅作语境审校参考，不自动替换。
第六局,第六局,憧憬／再诞；保留情报机关局级编号。；来源 pm-ar-table:218。仅作语境审校参考，不自动替换。
第１中隊 / 第２中隊,第一中队 / 第二中队,憧憬／再诞；按中文军事编制固定为“中队”，数字统一使用中文序数词。；来源 pm-ar-table:261。仅作语境审校参考，不自动替换。
第２中隊全員,第二中队全员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；数字与部队层级统一。；来源 pm-ar-table:266。仅作语境审校参考，不自动替换。
第３小隊全員,第三小队全员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；数字与部队层级统一。；来源 pm-ar-table:267。仅作语境审校参考，不自动替换。
第４４戦術機甲大隊,第44战术机甲大队,憧憬／再诞；部队番号。；来源 pm-ar-table:300。仅作语境审校参考，不自动替换。
筐体,机台,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:237。仅作语境审校参考，不自动替换。
築地,筑地,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：169/169；来源 pm-shard-table:33。仅作语境审校参考，不自动替换。
築地・武,筑地、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:395。仅作语境审校参考，不自动替换。
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍,美军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
糧食,军粮,憧憬／再诞；在军队供餐语境统一译为自然军事中文“军粮”，不用泛化的“粮食”。；来源 pm-ar-table:111。仅作语境审校参考，不自动替换。
